,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
67,A,F6,TXG_FOB_USD,W00,6,P1Y,2021,386245.450534,2022,466925.664809
68,A,SD,TXG_FOB_USD,W00,6,P1Y,2021,11949.099437,2022,21449.715939
69,A,BR,TXG_FOB_USD,W00,6,P1Y,2021,281645.257207,2022,334463.079195
70,A,GW,TXG_FOB_USD,W00,6,P1Y,2021,203.061551,2022,303.490066
71,A,ML,TXG_FOB_USD,W00,6,P1Y,2021,4998.131851,2022,5177.232818
72,A,BG,TXG_FOB_USD,W00,6,P1Y,2021,41157.188704,2022,50238.784706
73,A,QA,TXG_FOB_USD,W00,6,P1Y,2021,87200.560581,2022,137376.104022
74,A,EC,TXG_FOB_USD,W00,6,P1Y,2021,26345.747048,2022,37975.978068
75,A,LU,TXG_FOB_USD,W00,6,P1Y,2021,16800.336263,2022,17274.356544
76,A,1C_080,TXG_FOB_USD,W00,6,P1Y,2021,1646292.329689,2022,2218934.533298
77,A,NO,TXG_FOB_USD,W00,6,P1Y,2021,160306.668845,2022,270865.654988
78,A,VU,TXG_FOB_USD,W00,6,P1Y,2021,76.314661,2022,73.978518
79,A,F1,TXG_FOB_USD,W00,6,P1Y,2021,493348.026793,2022,619251.284288
80,A,BB,TXG_FOB_USD,W00,6,P1Y,2021,275.527643,2022,320.067196
81,A,KH,TXG_FOB_USD,W00,6,P1Y,2021,17594.333454,2022,23078.465454
82,A,DE,TXG_FOB_USD,W00,6,P1Y,2021,1636741.953121,2022,1656713.639815
83,A,XR43,TXG_FOB_USD,W00,6,P1Y,2021,9351785.860511,2022,10754249.898006
84,A,CD,TXG_FOB_USD,W00,6,P1Y,2021,27381.078426,2022,41271.015345
85,A,NL,TXG_FOB_USD,W00,6,P1Y,2021,840031.521421,2022,965761.906765
86,A,FJ,TXG_FOB_USD,W00,6,P1Y,2021,750.13776,2022,851.475612
87,A,SO,TXG_FOB_USD,W00,6,P1Y,2021,527.136291,2022,638.995966
88,A,DO,TXG_FOB_USD,W00,6,P1Y,2021,12445.363332,2022,13626.163798
89,A,MM,TXG_FOB_USD,W00,6,P1Y,2021,15159.029402,2022,20411.979906
90,A,TT,TXG_FOB_USD,W00,6,P1Y,2021,8377.133987,2022,13286.231743
91,A,BF,TXG_FOB_USD,W00,6,P1Y,2021,5040.406639,2022,16844.400758
92,A,AM,TXG_FOB_USD,W00,6,P1Y,2021,3015.987201,2022,5360.069395
93,A,BH,TXG_FOB_USD,W00,6,P1Y,2021,17489.763756,2022,24315.655908
94,A,DJ,TXG_FOB_USD,W00,6,P1Y,2021,362.156497,2022,377.030249
95,A,LK,TXG_FOB_USD,W00,6,P1Y,2021,13317.602487,2022,17054.345451
96,A,SR,TXG_FOB_USD,W00,6,P1Y,2021,1502.012892,2022,1970.656623
97,A,KP,TXG_FOB_USD,W00,6,P1Y,2021,216.044336,2022,248.729987
98,A,AR,TXG_FOB_USD,W00,6,P1Y,2021,77629.061078,2022,90072.130752
99,A,ET,TXG_FOB_USD,W00,6,P1Y,2021,3227.683856,2022,3733.969703
100,A,WS,TXG_FOB_USD,W00,6,P1Y,2021,26.775746,2022,31.86526
101,A,BE,TXG_FOB_USD,W00,6,P1Y,2021,548868.945936,2022,635514.337888
102,A,MX,TXG_FOB_USD,W00,6,P1Y,2021,494760.559,2022,578188.005
103,A,TH,TXG_FOB_USD,W00,6,P1Y,2021,266291.81122,2022,283504.156341
104,A,AE,TXG_FOB_USD,W00,6,P1Y,2021,261239.072909,2022,360394.063832
105,A,FI,TXG_FOB_USD,W00,6,P1Y,2021,81995.695786,2022,85907.059063
106,A,JM,TXG_FOB_USD,W00,6,P1Y,2021,1476.349167,2022,1068.628895
107,A,CV,TXG_FOB_USD,W00,6,P1Y,2021,74.219849,2022,58.883704
108,A,IE,TXG_FOB_USD,W00,6,P1Y,2021,190658.115547,2022,213991.055481
109,A,CO,TXG_FOB_USD,W00,6,P1Y,2021,41389.989091,2022,57105.700449
110,A,TN,TXG_FOB_USD,W00,6,P1Y,2021,16815.047953,2022,18558.038104
111,A,FO,TXG_FOB_USD,W00,6,P1Y,2021,1644.269913,2022,2263.671795
112,A,IN,TXG_FOB_USD,W00,6,P1Y,2021,394463.71039,2022,449535.857035
113,A,CG,TXG_FOB_USD,W00,6,P1Y,2021,2378.175928,2022,3729.060611
114,A,PY,TXG_FOB_USD,W00,6,P1Y,2021,10559.535045,2022,9957.013974
115,A,PK,TXG_FOB_USD,W00,6,P1Y,2021,28681.421762,2022,30019.339966
116,A,LR,TXG_FOB_USD,W00,6,P1Y,2021,454.079837,2022,448.836637
117,A,1C_473,TXG_FOB_USD,W00,6,P1Y,,,,
118,A,CU,TXG_FOB_USD,W00,6,P1Y,2021,1195.831213,2022,1317.620035
119,A,KM,TXG_FOB_USD,W00,6,P1Y,2021,36.820212,2022,37.145766
120,A,MG,TXG_FOB_USD,W00,6,P1Y,2021,2707.433581,2022,3546.314854
121,A,TM,TXG_FOB_USD,W00,6,P1Y,2021,9349.414607,2022,12820.660645
122,A,MA,TXG_FOB_USD,W00,6,P1Y,2021,36530.850612,2022,43383.566724
123,A,HU,TXG_FOB_USD,W00,6,P1Y,2021,141830.13116,2022,151540.101075
124,A,DE2,TXG_FOB_USD,W00,6,P1Y,,,,
125,A,VC,TXG_FOB_USD,W00,6,P1Y,2021,52.979674,2022,72.097467
126,A,BM,TXG_FOB_USD,W00,6,P1Y,2021,52.570833,2022,44.557967
127,A,CA,TXG_FOB_USD,W00,6,P1Y,2021,501740.476073,2022,596957.71223
128,A,KG,TXG_FOB_USD,W00,6,P1Y,2021,1658.948495,2022,2186.695034
129,A,CM,TXG_FOB_USD,W00,6,P1Y,2021,4399.540648,2022,6171.664019
130,A,MN,TXG_FOB_USD,W00,6,P1Y,2021,9277.283656,2022,13276.86715
