date,value,reporter,partner
2015-01-01,41394191161,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-02-01,41230574387,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-03-01,45267033751,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-04-01,43226763922,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-05-01,43428981430,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-06-01,43166612113,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-07-01,40252133626,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-08-01,36806631072,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-09-01,38234839309,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-10-01,38826071710,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-11-01,36128074835,Community of Independent States (CIS),"All Countries, excluding the IO"
2015-12-01,41040873222,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-01-01,26637315250,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-02-01,30037136351,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-03-01,34150748820,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-04-01,33069150786,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-05-01,32493844479,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-06-01,35682370636,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-07-01,33711893638,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-08-01,35032211834,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-09-01,38336734014,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-10-01,36007974452,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-11-01,39664455398,Community of Independent States (CIS),"All Countries, excluding the IO"
2016-12-01,45820061706,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-01-01,36833858213,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-02-01,38039765433,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-03-01,44923285978,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-04-01,39248403682,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-05-01,42477979967,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-06-01,43011098648,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-07-01,38052141742,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-08-01,43278973647,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-09-01,45102638542,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-10-01,45929259855,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-11-01,49218507912,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-12-01,53276497274,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-01-01,48079238150,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-02-01,46635840814,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-03-01,52698355551,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-04-01,52956744657,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-05-01,52492009742,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-06-01,52762275262,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-07-01,50861866204,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-08-01,54654820712,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-09-01,55342578087,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-10-01,58390503014,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-11-01,57704967186,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-12-01,59824961903,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-01-01,48391398899,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-02-01,50822795172,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-03-01,51622788320,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-04-01,52862190552,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-05-01,49069398724,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-06-01,48824198285,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-07-01,51488746453,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-08-01,50691400929,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-09-01,51867639243,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-10-01,53251415516,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-11-01,52240768570,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-12-01,55483169784,Community of Independent States (CIS),"All Countries, excluding the IO"
