,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE,Obs_24_@TIME_PERIOD,Obs_24_@OBS_VALUE,Obs_25_@TIME_PERIOD,Obs_25_@OBS_VALUE,Obs_26_@TIME_PERIOD,Obs_26_@OBS_VALUE,Obs_27_@TIME_PERIOD,Obs_27_@OBS_VALUE,Obs_28_@TIME_PERIOD,Obs_28_@OBS_VALUE,Obs_29_@TIME_PERIOD,Obs_29_@OBS_VALUE,Obs_30_@TIME_PERIOD,Obs_30_@OBS_VALUE,Obs_31_@TIME_PERIOD,Obs_31_@OBS_VALUE,Obs_32_@TIME_PERIOD,Obs_32_@OBS_VALUE,Obs_33_@TIME_PERIOD,Obs_33_@OBS_VALUE,Obs_34_@TIME_PERIOD,Obs_34_@OBS_VALUE
10,M,US,TXG_FOB_USD,KP,6,P1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,M,US,TXG_FOB_USD,GH,6,P1M,2020-01,58.954166,2020-02,61.978645,2020-03,81.087208,2020-04,41.691407,2020-05,65.446784,2020-06,80.869251,2020-07,67.853312,2020-08,65.439675,2020-09,85.90871,2020-10,75.564855,2020-11,74.976327,2020-12,72.178459,2021-01,66.450288,2021-02,61.980178,2021-03,65.589462,2021-04,79.383057,2021-05,87.489736,2021-06,74.862632,2021-07,64.032605,2021-08,103.364118,2021-09,70.165638,2021-10,84.148606,2021-11,101.016567,2021-12,98.954601,2022-01,49.472304,2022-02,93.842832,2022-03,93.464103,2022-04,108.459273,2022-05,84.708272,2022-06,106.929183,2022-07,124.512291,2022-08,84.861273,2022-09,68.836098,2022-10,66.490221,2022-11,48.014445
12,M,US,TXG_FOB_USD,MO,6,P1M,2020-01,15.372765,2020-02,13.808774,2020-03,11.155721,2020-04,10.680998,2020-05,8.308427,2020-06,5.762192,2020-07,12.732691,2020-08,7.495436,2020-09,6.082607,2020-10,53.880843,2020-11,14.939318,2020-12,22.784957,2021-01,16.52833,2021-02,9.445197,2021-03,21.473242,2021-04,18.677496,2021-05,24.26182,2021-06,16.74532,2021-07,20.782935,2021-08,24.001853,2021-09,14.518042,2021-10,18.348017,2021-11,14.674361,2021-12,20.10078,2022-01,20.014559,2022-02,26.544222,2022-03,22.73583,2022-04,21.195094,2022-05,22.029305,2022-06,19.562263,2022-07,24.220874,2022-08,25.395735,2022-09,22.621599,2022-10,24.717428,2022-11,12.290745
13,M,US,TXG_FOB_USD,SG,6,P1M,2020-01,2452.943184,2020-02,2713.487337,2020-03,2561.107127,2020-04,2411.495297,2020-05,1978.442549,2020-06,2098.2614,2020-07,1864.366615,2020-08,2086.956282,2020-09,2185.407567,2020-10,2262.923049,2020-11,2201.339375,2020-12,2269.628749,2021-01,2280.678964,2021-02,2317.521639,2021-03,3512.376537,2021-04,3329.479315,2021-05,2646.512561,2021-06,2948.530009,2021-07,3209.587861,2021-08,2913.840633,2021-09,2716.268008,2021-10,3221.995296,2021-11,2849.221306,2021-12,3339.453443,2022-01,3658.47927,2022-02,3184.46539,2022-03,3901.327953,2022-04,3509.756485,2022-05,3506.54773,2022-06,4089.752914,2022-07,4440.615394,2022-08,4282.159669,2022-09,4632.441299,2022-10,4108.89536,2022-11,3530.864969
14,M,US,TXG_FOB_USD,MA,6,P1M,2020-01,279.446757,2020-02,283.592065,2020-03,203.913666,2020-04,147.077939,2020-05,140.582958,2020-06,174.798007,2020-07,140.993975,2020-08,145.478208,2020-09,155.808867,2020-10,180.170518,2020-11,174.16053,2020-12,272.563486,2021-01,200.784612,2021-02,216.516052,2021-03,299.706842,2021-04,272.739272,2021-05,264.297671,2021-06,198.279233,2021-07,200.314722,2021-08,205.135403,2021-09,189.546399,2021-10,230.544299,2021-11,256.218013,2021-12,260.416748,2022-01,303.701868,2022-02,214.077175,2022-03,223.822663,2022-04,358.886897,2022-05,350.247187,2022-06,355.678239,2022-07,394.786128,2022-08,306.63482,2022-09,254.084101,2022-10,190.696301,2022-11,311.075873
15,M,US,TXG_FOB_USD,XR29,6,P1M,2020-01,71959.178082,2020-02,75099.904739,2020-03,76466.422728,2020-04,53989.843766,2020-05,51395.742093,2020-06,59287.60829,2020-07,62839.409895,2020-08,66726.976991,2020-09,67807.40994,2020-10,70916.883894,2020-11,67838.435904,2020-12,69408.632306,2021-01,68071.817275,2021-02,67007.687283,2021-03,84185.118924,2021-04,80258.443049,2021-05,78930.726251,2021-06,80198.356539,2021-07,76923.389564,2021-08,80129.094355,2021-09,76420.143204,2021-10,86466.494133,2021-11,81409.077008,2021-12,84449.624522,2022-01,78414.320996,2022-02,81718.253896,2022-03,98428.772049,2022-04,94167.582372,2022-05,96097.368391,2022-06,100628.962772,2022-07,96348.710405,2022-08,98764.301601,2022-09,97395.009909,2022-10,98127.996564,2022-11,91958.818796
16,M,US,TXG_FOB_USD,1C_473,6,P1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,M,US,TXG_FOB_USD,PE,6,P1M,2020-01,865.083012,2020-02,857.34611,2020-03,733.980626,2020-04,414.363153,2020-05,320.551691,2020-06,441.591318,2020-07,621.49981,2020-08,591.621098,2020-09,611.15267,2020-10,744.059867,2020-11,706.14406,2020-12,778.416339,2021-01,862.360999,2021-02,721.275881,2021-03,911.788742,2021-04,729.030017,2021-05,778.68991,2021-06,770.262705,2021-07,793.81038,2021-08,823.847106,2021-09,977.569206,2021-10,904.364053,2021-11,977.414566,2021-12,1072.781119,2022-01,897.69672,2022-02,973.292632,2022-03,937.737455,2022-04,1194.739628,2022-05,1253.04539,2022-06,1302.337264,2022-07,1127.777078,2022-08,1406.556814,2022-09,1473.652727,2022-10,1128.726962,2022-11,1032.51679
18,M,US,TXG_FOB_USD,LV,6,P1M,2020-01,15.527203,2020-02,23.483682,2020-03,35.90501,2020-04,21.974621,2020-05,23.096903,2020-06,19.84864,2020-07,28.327949,2020-08,31.448238,2020-09,26.881329,2020-10,25.63274,2020-11,33.245624,2020-12,20.813802,2021-01,56.145694,2021-02,19.457673,2021-03,26.591178,2021-04,26.610474,2021-05,38.185861,2021-06,29.401266,2021-07,25.38165,2021-08,42.836318,2021-09,39.58311,2021-10,32.709121,2021-11,47.782136,2021-12,28.552812,2022-01,37.666188,2022-02,27.319913,2022-03,30.621287,2022-04,21.18739,2022-05,49.996846,2022-06,22.321828,2022-07,51.432802,2022-08,22.444931,2022-09,28.95431,2022-10,46.672763,2022-11,30.837147
19,M,US,TXG_FOB_USD,PA,6,P1M,2020-01,560.830987,2020-02,815.915576,2020-03,653.972128,2020-04,510.249374,2020-05,390.542882,2020-06,306.51886,2020-07,321.453651,2020-08,300.082282,2020-09,372.360225,2020-10,409.987747,2020-11,550.092709,2020-12,575.466502,2021-01,591.994952,2021-02,513.993699,2021-03,581.05918,2021-04,499.58884,2021-05,677.480408,2021-06,703.567068,2021-07,815.316733,2021-08,791.81634,2021-09,599.57641,2021-10,781.863444,2021-11,724.656467,2021-12,852.309909,2022-01,731.561178,2022-02,866.041585,2022-03,1098.686377,2022-04,946.592055,2022-05,1103.466826,2022-06,1174.60488,2022-07,986.853078,2022-08,1011.747594,2022-09,722.004601,2022-10,1072.816565,2022-11,1150.145713
