,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
83,M,EE,TXG_FOB_USD,W00,6,P1M,2023-01,1608.340513
84,M,CSH,TXG_FOB_USD,W00,6,P1M,,
85,M,NO,TXG_FOB_USD,W00,6,P1M,2023-01,24497.899074
86,M,1C_440,TXG_FOB_USD,W00,6,P1M,2023-01,108106.402071
87,M,MO,TXG_FOB_USD,W00,6,P1M,2023-01,88.892876
88,M,CG,TXG_FOB_USD,W00,6,P1M,2023-01,398.408657
89,M,GL,TXG_FOB_USD,W00,6,P1M,2023-01,75.143663
90,M,KN,TXG_FOB_USD,W00,6,P1M,2023-01,1.827715
91,M,SR,TXG_FOB_USD,W00,6,P1M,2023-01,98.248633
92,M,SD,TXG_FOB_USD,W00,6,P1M,2023-01,1247.684524
93,M,AO,TXG_FOB_USD,W00,6,P1M,2023-01,2644.893386
94,M,UG,TXG_FOB_USD,W00,6,P1M,2023-01,264.438543
95,M,CR,TXG_FOB_USD,W00,6,P1M,2023-01,1471.785983
96,M,SI,TXG_FOB_USD,W00,6,P1M,2023-01,4602.101791
97,M,BA,TXG_FOB_USD,W00,6,P1M,2023-01,770.124159
98,M,UY,TXG_FOB_USD,W00,6,P1M,2023-01,727.255745
99,M,TN,TXG_FOB_USD,W00,6,P1M,2023-01,1488.564072
100,M,ME,TXG_FOB_USD,W00,6,P1M,2023-01,104.040026
101,M,F6,TXG_FOB_USD,W00,6,P1M,2023-01,34593.622609
102,M,AM,TXG_FOB_USD,W00,6,P1M,2023-01,448.333428
103,M,AT,TXG_FOB_USD,W00,6,P1M,2023-01,16548.561566
104,M,F1,TXG_FOB_USD,W00,6,P1M,2023-01,46023.095076
105,M,LA,TXG_FOB_USD,W00,6,P1M,2023-01,788.190325
106,M,BE,TXG_FOB_USD,W00,6,P1M,2023-01,47778.228971
107,M,SA,TXG_FOB_USD,W00,6,P1M,2023-01,28023.544216
108,M,YUC,TXG_FOB_USD,W00,6,P1M,,
109,M,E1,TXG_FOB_USD,W00,6,P1M,2023-01,121078.750247
110,M,GT,TXG_FOB_USD,W00,6,P1M,2023-01,1156.797693
111,M,SUH,TXG_FOB_USD,W00,6,P1M,,
112,M,GQ,TXG_FOB_USD,W00,6,P1M,2023-01,502.325094
113,M,PT,TXG_FOB_USD,W00,6,P1M,2023-01,6844.996391
114,M,PL,TXG_FOB_USD,W00,6,P1M,2023-01,30794.309096
115,M,GE,TXG_FOB_USD,W00,6,P1M,2023-01,458.975275
116,M,MV,TXG_FOB_USD,W00,6,P1M,2023-01,16.320201
117,M,AU,TXG_FOB_USD,W00,6,P1M,2023-01,33367.667623
118,M,RW,TXG_FOB_USD,W00,6,P1M,2023-01,167.690295
119,M,FI,TXG_FOB_USD,W00,6,P1M,2023-01,6487.909672
120,M,GH,TXG_FOB_USD,W00,6,P1M,2023-01,1905.820585
121,M,IS,TXG_FOB_USD,W00,6,P1M,2023-01,634.015311
122,M,GW,TXG_FOB_USD,W00,6,P1M,2023-01,31.6967
123,M,FO,TXG_FOB_USD,W00,6,P1M,2023-01,144.592471
124,M,CO,TXG_FOB_USD,W00,6,P1M,2023-01,4019.733258
125,M,ZA,TXG_FOB_USD,W00,6,P1M,2023-01,8157.808253
126,M,DE2,TXG_FOB_USD,W00,6,P1M,,
127,M,CZ,TXG_FOB_USD,W00,6,P1M,2023-01,21739.764389
128,M,XR29,TXG_FOB_USD,W00,6,P1M,2023-01,1077896.920389
129,M,CN,TXG_FOB_USD,W00,6,P1M,2023-01,292275.544404
130,M,NP,TXG_FOB_USD,W00,6,P1M,2023-01,91.649867
131,M,SG,TXG_FOB_USD,W00,6,P1M,2023-01,37392.671995
132,M,CD,TXG_FOB_USD,W00,6,P1M,2023-01,2453.507507
