,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
55,A,FR,TXG_FOB_USD,FJ,6,P1Y,2020,6.438222,2021,18.724065,2022,4.47768,,
56,A,FR,TXG_FOB_USD,ML,6,P1Y,2020,424.32489,2021,481.826718,2022,373.708037,,
57,A,FR,TXG_FOB_USD,BJ,6,P1Y,2020,204.817518,2021,266.794525,2022,247.146201,,
58,A,FR,TXG_FOB_USD,XR29,6,P1Y,2020,364624.158055,2021,431570.496877,2022,466129.941841,,
59,A,FR,TXG_FOB_USD,CO,6,P1Y,2020,531.386185,2021,736.107543,2022,1182.28929,,
60,A,FR,TXG_FOB_USD,F19,6,P1Y,2020,1.661921,2021,0.5192,2022,0.256345,,
61,A,FR,TXG_FOB_USD,SE,6,P1Y,2020,5935.751446,2021,6970.305184,2022,6545.947766,,
62,A,FR,TXG_FOB_USD,TV,6,P1Y,2020,0.09768,2021,0.048222,2022,0.006457,,
63,A,FR,TXG_FOB_USD,R1,6,P1Y,,,,,,,,
64,A,FR,TXG_FOB_USD,AU,6,P1Y,2020,3152.228861,2021,3563.845694,2022,3525.215598,,
65,A,FR,TXG_FOB_USD,NC,6,P1Y,2020,929.862463,2021,884.645932,2022,814.591729,,
66,A,FR,TXG_FOB_USD,F6,6,P1Y,2020,10138.416989,2021,11502.908719,2022,10711.478888,,
67,A,FR,TXG_FOB_USD,RS,6,P1Y,2020,671.168962,2021,751.0014,2022,870.112471,,
68,A,FR,TXG_FOB_USD,GE,6,P1Y,2020,168.085829,2021,233.894736,2022,234.619201,,
69,A,FR,TXG_FOB_USD,FO,6,P1Y,2020,73.592844,2021,1.752393,2022,1.271155,,
