,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
113,A,US,TXG_FOB_USD,JM,6,P1Y,2020,1696.605553,2021,1975.385529
114,A,US,TXG_FOB_USD,EE,6,P1Y,2020,345.07621,2021,449.789651
115,A,US,TXG_FOB_USD,NG,6,P1Y,2020,2788.420063,2021,3887.036834
116,A,US,TXG_FOB_USD,QA,6,P1Y,2020,3415.538816,2021,2580.750178
117,A,US,TXG_FOB_USD,BA,6,P1Y,2020,21.57095,2021,51.68929
118,A,US,TXG_FOB_USD,MW,6,P1Y,2020,13.214745,2021,23.321463
119,A,US,TXG_FOB_USD,FO,6,P1Y,2020,2.792623,2021,3.038265
120,A,US,TXG_FOB_USD,ES,6,P1Y,2020,12870.077538,2021,16332.145229
121,A,US,TXG_FOB_USD,HU,6,P1Y,2020,2115.867318,2021,2908.266137
122,A,US,TXG_FOB_USD,PT,6,P1Y,2020,1650.382336,2021,2369.248411
123,A,US,TXG_FOB_USD,CN,6,P1Y,2020,124648.519373,2021,151442.173179
124,A,US,TXG_FOB_USD,YE,6,P1Y,2020,331.127668,2021,271.366966
125,A,US,TXG_FOB_USD,DK,6,P1Y,2020,3057.924643,2021,3543.819857
126,A,US,TXG_FOB_USD,TD,6,P1Y,2020,46.14595,2021,41.781794
127,A,US,TXG_FOB_USD,LY,6,P1Y,2020,316.451047,2021,295.286993
128,A,US,TXG_FOB_USD,HN,6,P1Y,2020,4206.697277,2021,6392.900571
129,A,US,TXG_FOB_USD,SA,6,P1Y,2020,11177.13075,2021,11132.972706
130,A,US,TXG_FOB_USD,1C_473,6,P1Y,,,,
131,A,US,TXG_FOB_USD,AR,6,P1Y,2020,5950.063997,2021,7762.216163
132,A,US,TXG_FOB_USD,CZ,6,P1Y,2020,2985.174366,2021,3660.959984
133,A,US,TXG_FOB_USD,LV,6,P1Y,2020,306.185741,2021,413.237293
134,A,US,TXG_FOB_USD,F979,6,P1Y,,,,
135,A,US,TXG_FOB_USD,VC,6,P1Y,2020,76.873712,2021,102.27576
136,A,US,TXG_FOB_USD,1C_903,6,P1Y,2020,26991.822158,2021,33527.862252
137,A,US,TXG_FOB_USD,GB,6,P1Y,2020,59009.599581,2021,61425.143759
138,A,US,TXG_FOB_USD,KG,6,P1Y,2020,32.48057,2021,34.071497
139,A,US,TXG_FOB_USD,SZ,6,P1Y,2020,21.40612,2021,36.959813
140,A,US,TXG_FOB_USD,BG,6,P1Y,2020,374.901599,2021,339.013303
141,A,US,TXG_FOB_USD,BB,6,P1Y,2020,516.846788,2021,753.648793
142,A,US,TXG_FOB_USD,FJ,6,P1Y,2020,39.801721,2021,180.490659
143,A,US,TXG_FOB_USD,PK,6,P1Y,2020,2926.365253,2021,3614.388676
144,A,US,TXG_FOB_USD,BY,6,P1Y,2020,112.283785,2021,218.015464
145,A,US,TXG_FOB_USD,SS,6,P1Y,2020,40.244003,2021,58.916659
146,A,US,TXG_FOB_USD,XR29,6,P1Y,2020,793736.448628,2021,944449.972107
147,A,US,TXG_FOB_USD,MX,6,P1Y,2020,212671.750902,2021,276491.019833
148,A,US,TXG_FOB_USD,GL,6,P1Y,2020,7.017694,2021,13.133816
149,A,US,TXG_FOB_USD,_X,6,P1Y,,,,
150,A,US,TXG_FOB_USD,F6,6,P1Y,2020,13146.432852,2021,15992.726183
151,A,US,TXG_FOB_USD,NR,6,P1Y,2020,0.607028,2021,1.313019
152,A,US,TXG_FOB_USD,UA,6,P1Y,2020,1840.28762,2021,2525.139896
153,A,US,TXG_FOB_USD,OM,6,P1Y,2020,1132.932302,2021,1397.166241
154,A,US,TXG_FOB_USD,DM,6,P1Y,2020,115.129555,2021,373.061755
155,A,US,TXG_FOB_USD,FI,6,P1Y,2020,1586.782756,2021,1727.344206
156,A,US,TXG_FOB_USD,FR,6,P1Y,2020,28285.410055,2021,30598.606496
157,A,US,TXG_FOB_USD,DZ,6,P1Y,2020,726.286705,2021,783.925771
158,A,US,TXG_FOB_USD,LB,6,P1Y,2020,623.933148,2021,664.782492
159,A,US,TXG_FOB_USD,LC,6,P1Y,2020,637.45614,2021,535.217537
160,A,US,TXG_FOB_USD,KR,6,P1Y,2020,51218.022866,2021,65942.40088
161,A,US,TXG_FOB_USD,AZ,6,P1Y,2020,162.084341,2021,131.657527
162,A,US,TXG_FOB_USD,DO,6,P1Y,2020,7604.760178,2021,10673.209057
163,A,US,TXG_FOB_USD,AN,6,P1Y,,,,
164,A,US,TXG_FOB_USD,AW,6,P1Y,2020,309.038353,2021,542.879469
165,A,US,TXG_FOB_USD,ZA,6,P1Y,2020,4454.774311,2021,5479.21379
