,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE
10,M,XR43,TXG_FOB_USD,W00,6,P1M,2021-01,670693.940773,2021-02,618168.173928,2021-03,735786.105714,2021-04,743802.725296,2021-05,740029.901101,2021-06,789807.994337,2021-07,786888.374614,2021-08,798427.324934,2021-09,829229.576116,2021-10,834208.657099,2021-11,881457.531586,2021-12,923285.555013,2022-01,867201.014866,2022-02,774514.727096,2022-03,930564.940083,2022-04,896568.136393,2022-05,921659.566737,2022-06,974570.155048,2022-07,928387.27589,2022-08,931234.732539,2022-09,926205.08395,2022-10,866131.687375,2022-11,871921.788736,2022-12,865290.789293
11,M,NL,TXG_FOB_USD,W00,6,P1M,2021-01,60765.439746,2021-02,62033.129218,2021-03,74388.469287,2021-04,66781.513312,2021-05,67072.00463,2021-06,73143.559056,2021-07,69599.628878,2021-08,66233.241238,2021-09,73624.515142,2021-10,71922.741847,2021-11,78413.135946,2021-12,76054.143121,2022-01,72874.508979,2022-02,71704.56714,2022-03,84912.37125,2022-04,77232.962146,2022-05,82418.532907,2022-06,85841.613767,2022-07,76698.537955,2022-08,78577.657015,2022-09,85352.160537,2022-10,82776.643249,2022-11,86399.531739,2022-12,80972.820081
12,M,MY,TXG_FOB_USD,W00,6,P1M,2021-01,22201.55521,2021-02,21645.458156,2021-03,25551.267181,2021-04,25602.42892,2021-05,22365.451819,2021-06,25511.721922,2021-07,23179.916912,2021-08,22636.162955,2021-09,26601.899797,2021-10,27484.085827,2021-11,26841.168117,2021-12,29416.587745,2022-01,26515.164269,2022-02,24420.455977,2022-03,31319.342024,2022-04,29903.014877,2022-05,27481.866458,2022-06,33176.775894,2022-07,30191.957202,2022-08,31633.564871,2022-09,31742.019962,2022-10,28026.412713,2022-11,28048.620509,2022-12,29878.728339
13,M,1C_092,TXG_FOB_USD,W00,6,P1M,2021-01,567447.17523,2021-02,512371.330594,2021-03,614308.781694,2021-04,619763.055764,2021-05,615604.552086,2021-06,653542.735052,2021-07,643089.504158,2021-08,656885.317382,2021-09,679176.72237,2021-10,679856.966095,2021-11,717907.328211,2021-12,745540.062186,2022-01,691701.21316,2022-02,598156.062136,2022-03,723306.205156,2022-04,694896.120759,2022-05,723680.395049,2022-06,779439.575409,2022-07,737802.983051,2022-08,739283.789741,2022-09,742680.623519,2022-10,695761.113887,2022-11,707415.740628,2022-12,701191.542213
14,M,LU,TXG_FOB_USD,W00,6,P1M,2021-01,1229.636314,2021-02,1263.989254,2021-03,1514.660669,2021-04,1409.309299,2021-05,1355.618974,2021-06,1524.089004,2021-07,1452.018248,2021-08,1296.009473,2021-09,1514.289558,2021-10,1414.797819,2021-11,1466.222087,2021-12,1359.695564,2022-01,1343.646503,2022-02,1457.980529,2022-03,1689.760451,2022-04,1470.929487,2022-05,1519.279017,2022-06,1582.78517,2022-07,1344.361256,2022-08,1302.092909,2022-09,1399.341847,2022-10,1380.733922,2022-11,1444.285148,2022-12,1339.160305
15,M,LV,TXG_FOB_USD,W00,6,P1M,2021-01,1354.882417,2021-02,1475.806168,2021-03,1688.948274,2021-04,1588.344608,2021-05,1628.200134,2021-06,1660.67555,2021-07,1703.934862,2021-08,1846.324264,2021-09,2048.286368,2021-10,1952.389989,2021-11,1997.024731,2021-12,1888.3541,2022-01,1779.788881,2022-02,1821.48291,2022-03,2192.622857,2022-04,1974.010492,2022-05,2018.668039,2022-06,1953.893651,2022-07,1759.517131,2022-08,2112.730791,2022-09,2301.261305,2022-10,1936.46331,2022-11,2158.666808,2022-12,2001.943429
16,M,1C_080,TXG_FOB_USD,W00,6,P1M,2021-01,103246.765543,2021-02,105796.843334,2021-03,121477.32402,2021-04,124039.669532,2021-05,124425.349015,2021-06,136265.259285,2021-07,143798.870456,2021-08,141542.007552,2021-09,150052.853746,2021-10,154351.691004,2021-11,163550.203375,2021-12,177745.492827,2022-01,175499.801706,2022-02,176358.66496,2022-03,207258.734927,2022-04,201672.015634,2022-05,197979.171688,2022-06,195130.579639,2022-07,190584.292839,2022-08,191950.942798,2022-09,183524.460431,2022-10,170370.573488,2022-11,164506.048108,2022-12,164099.24708
17,M,SO,TXG_FOB_USD,W00,6,P1M,2021-01,42.539723,2021-02,44.327458,2021-03,49.919665,2021-04,50.267165,2021-05,43.446431,2021-06,47.270054,2021-07,50.911405,2021-08,37.878506,2021-09,37.481713,2021-10,40.765648,2021-11,38.991659,2021-12,43.336864,2022-01,43.538635,2022-02,40.207066,2022-03,45.797419,2022-04,47.913633,2022-05,49.468243,2022-06,139.224045,2022-07,67.478663,2022-08,38.952626,2022-09,44.723754,2022-10,41.381458,2022-11,39.366629,2022-12,40.943795
18,M,MD,TXG_FOB_USD,W00,6,P1M,2021-01,198.436636,2021-02,227.02272,2021-03,259.243907,2021-04,218.261889,2021-05,201.705294,2021-06,226.794075,2021-07,240.718482,2021-08,236.19514,2021-09,294.614659,2021-10,351.787764,2021-11,363.217098,2021-12,324.982185,2022-01,330.357236,2022-02,336.464327,2022-03,395.826597,2022-04,396.340158,2022-05,416.034561,2022-06,416.431915,2022-07,338.22251,2022-08,329.414482,2022-09,318.527652,2022-10,342.451399,2022-11,339.473623,2022-12,286.912822
19,M,DK,TXG_FOB_USD,W00,6,P1M,2021-01,9483.378697,2021-02,9601.353141,2021-03,11640.178,2021-04,9929.447561,2021-05,10620.90032,2021-06,11502.289024,2021-07,10083.412646,2021-08,9156.038136,2021-09,10901.480297,2021-10,10775.503129,2021-11,11774.165448,2021-12,10476.659681,2022-01,10231.03636,2022-02,10478.668999,2022-03,12706.907257,2022-04,10000.013226,2022-05,10778.216739,2022-06,10907.177368,2022-07,10003.172259,2022-08,10081.409868,2022-09,11067.307026,2022-10,10399.223863,2022-11,11362.389693,2022-12,10846.034567
