date,GDP,reporter
2020-01-01,1703698676.69742,Cabo Verde
2021-01-01,1936174043.45293,Cabo Verde
2019-01-01,64417670082.6127,Costa Rica
2020-01-01,62158002233.0279,Costa Rica
2021-01-01,64282438666.739,Costa Rica
2019-01-01,77428424853.8962,Caribbean small states
2020-01-01,65896805290.3286,Caribbean small states
2021-01-01,75295300457.2966,Caribbean small states
2019-01-01,103428000000,Cuba
2020-01-01,107352000000,Cuba
2019-01-01,2995185474.86034,Curacao
2020-01-01,2496174748.60335,Curacao
2021-01-01,2699612458.10056,Curacao
2019-01-01,5943589103.56414,Cayman Islands
2020-01-01,5608989199.56798,Cayman Islands
2021-01-01,5898449687.97711,Cayman Islands
2019-01-01,25944504645.6957,Cyprus
2020-01-01,25008448886.3507,Cyprus
2021-01-01,28407867534.0035,Cyprus
2019-01-01,252548179964.897,Czechia
2020-01-01,245974558654.043,Czechia
2021-01-01,281777887121.451,Czechia
2019-01-01,3888226035921.56,Germany
2020-01-01,3889668895299.62,Germany
2021-01-01,4259934911821.64,Germany
2019-01-01,3088853638.56832,Djibouti
2020-01-01,3181071153.6622,Djibouti
2021-01-01,3482987379.0942,Djibouti
2019-01-01,611537037.037037,Dominica
2020-01-01,504214814.814815,Dominica
2021-01-01,554181481.481481,Dominica
2019-01-01,346498737961.635,Denmark
2020-01-01,355222449505.211,Denmark
2021-01-01,398303272764.46,Denmark
2019-01-01,88941299733.5018,Dominican Republic
2020-01-01,78844702329.0785,Dominican Republic
2021-01-01,94243453937.4462,Dominican Republic
2019-01-01,171767403748.19,Algeria
2020-01-01,145009181490.62,Algeria
2021-01-01,163044443983.759,Algeria
2019-01-01,17207855739652.5,East Asia & Pacific (excluding high income)
2020-01-01,17486916629390.6,East Asia & Pacific (excluding high income)
2021-01-01,20751789915914.3,East Asia & Pacific (excluding high income)
2019-01-01,11638001740869.6,Early-demographic dividend
2020-01-01,10851370332817.7,Early-demographic dividend
2021-01-01,12637296304146.5,Early-demographic dividend
2019-01-01,27028297830157.6,East Asia & Pacific
2020-01-01,27127309724583.3,East Asia & Pacific
2021-01-01,30911686458694.3,East Asia & Pacific
2019-01-01,3248640014760.21,Europe & Central Asia (excluding high income)
2020-01-01,2982626888407.66,Europe & Central Asia (excluding high income)
2021-01-01,3517372658753.68,Europe & Central Asia (excluding high income)
2019-01-01,22909981097693.6,Europe & Central Asia
2020-01-01,22139980728586.8,Europe & Central Asia
2021-01-01,25082834224986.1,Europe & Central Asia
2019-01-01,108108009000,Ecuador
2020-01-01,99291124000,Ecuador
2021-01-01,106165866000,Ecuador
2019-01-01,303080865603.645,"Egypt, Arab Rep."
2020-01-01,365252651278.852,"Egypt, Arab Rep."
2021-01-01,404142766093.053,"Egypt, Arab Rep."
2019-01-01,13418170804151.7,Euro area
2020-01-01,13085484520637.5,Euro area
2021-01-01,14563282816938.9,Euro area
2019-01-01,1394320055129.41,Spain
2020-01-01,1276962685648.25,Spain
2021-01-01,1427380681294.55,Spain
2019-01-01,31081901909.2156,Estonia
2020-01-01,31370395572.7658,Estonia
2021-01-01,37191166151.98,Estonia
2019-01-01,95912590628.1412,Ethiopia
2020-01-01,107657734392.446,Ethiopia
2021-01-01,111271112329.975,Ethiopia
2019-01-01,15693403575262.4,European Union
2020-01-01,15369441264656.7,European Union
2021-01-01,17177419592825,European Union
2019-01-01,1804386435814.39,Fragile and conflict affected situations
2020-01-01,1680894123972.54,Fragile and conflict affected situations
2021-01-01,1799023437650.12,Fragile and conflict affected situations
2019-01-01,268514916972.549,Finland
2020-01-01,271891788362.647,Finland
2021-01-01,297301883523.251,Finland
2019-01-01,5481675173.38011,Fiji
2020-01-01,4477040340.45226,Fiji
2021-01-01,4296304590.01135,Fiji
2019-01-01,2728870246705.88,France
2020-01-01,2639008701648.26,France
2021-01-01,2957879759263.52,France
2019-01-01,3275706960.14634,Faroe Islands
2020-01-01,3248696901.60652,Faroe Islands
2021-01-01,3649886275.07118,Faroe Islands
2019-01-01,412000000,"Micronesia, Fed. Sts."
2020-01-01,408000000,"Micronesia, Fed. Sts."
2021-01-01,404028900,"Micronesia, Fed. Sts."
2019-01-01,16874405460.1955,Gabon
2020-01-01,15314577167.8211,Gabon
2021-01-01,20216843173.9702,Gabon
2019-01-01,2857057847953.02,United Kingdom
2020-01-01,2704609160088.15,United Kingdom
2021-01-01,3131377762925.95,United Kingdom
2019-01-01,17470436258.5131,Georgia
2020-01-01,15842922532.7202,Georgia
2021-01-01,18629365597.0017,Georgia
2019-01-01,68337537815.7703,Ghana
2020-01-01,70043199813.6885,Ghana
2021-01-01,77594279054.8795,Ghana
2019-01-01,13442861443.7506,Guinea
2020-01-01,14177835816.2777,Guinea
2021-01-01,16091817842.2342,Guinea
2019-01-01,1813608279.65044,"Gambia, The"
2020-01-01,1812169483.72578,"Gambia, The"
2021-01-01,2038417462.37695,"Gambia, The"
2019-01-01,1439638443.38133,Guinea-Bissau
2020-01-01,1431758242.90375,Guinea-Bissau
2021-01-01,1638517533.16504,Guinea-Bissau
2019-01-01,11364133801.8914,Equatorial Guinea
2020-01-01,10099158074.7273,Equatorial Guinea
2021-01-01,12269392839.7472,Equatorial Guinea
2019-01-01,205257014892.502,Greece
2020-01-01,188925995936.807,Greece
2021-01-01,214873879833.648,Greece
2019-01-01,1213485185.18519,Grenada
2020-01-01,1043414814.81481,Grenada
2021-01-01,1122807407.40741,Grenada
2019-01-01,2994332323.74726,Greenland
2020-01-01,3076015346.7541,Greenland
2019-01-01,77170421167.5134,Guatemala
2020-01-01,77625486978.2561,Guatemala
2021-01-01,85985752107.4679,Guatemala
2019-01-01,6366000000,Guam
2020-01-01,5886000000,Guam
2021-01-01,6123000000,Guam
2019-01-01,5173760191.84652,Guyana
2020-01-01,5471256594.72422,Guyana
2021-01-01,8044498800.95923,Guyana
2019-01-01,363052489184.395,"Hong Kong SAR, China"
2020-01-01,344932192028.051,"Hong Kong SAR, China"
2021-01-01,369176400967.427,"Hong Kong SAR, China"
2019-01-01,25089976946.7736,Honduras
2020-01-01,23827840809.7014,Honduras
2021-01-01,28488668301.6401,Honduras
2019-01-01,797571800632.385,Heavily indebted poor countries (HIPC)
2020-01-01,803236484236.191,Heavily indebted poor countries (HIPC)
2021-01-01,891901460388.385,Heavily indebted poor countries (HIPC)
2019-01-01,62327983579.5899,Croatia
2020-01-01,57472012426.6853,Croatia
2021-01-01,68955083280.1922,Croatia
2019-01-01,14785839382.9002,Haiti
2020-01-01,14508218017.4032,Haiti
2021-01-01,20944392615.0803,Haiti
2019-01-01,163988594921.902,Hungary
2020-01-01,157182045260.23,Hungary
2021-01-01,181848022233.89,Hungary
2019-01-01,31250632838977.7,IBRD only
2020-01-01,30068953560995.4,IBRD only
2021-01-01,35511412304437.1,IBRD only
