Date,beta
2017-01-01T00:00:00Z,0.005161903
2017-01-02T00:00:00Z,0.005161903
2017-01-03T00:00:00Z,0.005161903
2017-01-04T00:00:00Z,0.005161903
2017-01-05T00:00:00Z,0.005161903
2017-01-06T00:00:00Z,0.005161903
2017-01-07T00:00:00Z,0.005161903
2017-01-08T00:00:00Z,0.005161903
2017-01-09T00:00:00Z,0.005161903
2017-01-10T00:00:00Z,0.005161903
2017-01-11T00:00:00Z,0.005161903
2017-01-12T00:00:00Z,0.005161903
2017-01-13T00:00:00Z,0.005161903
2017-01-14T00:00:00Z,0.005161903
2017-01-15T00:00:00Z,0.005161903
2017-01-16T00:00:00Z,0.005161903
2017-01-17T00:00:00Z,0.005161903
2017-01-18T00:00:00Z,0.005161903
2017-01-19T00:00:00Z,0.005161903
2017-01-20T00:00:00Z,0.005161903
2017-01-21T00:00:00Z,0.005161903
2017-01-22T00:00:00Z,0.005161903
2017-01-23T00:00:00Z,0.005161903
2017-01-24T00:00:00Z,0.005161903
2017-01-25T00:00:00Z,0.005161903
2017-01-26T00:00:00Z,0.005161903
2017-01-27T00:00:00Z,0.005161903
2017-01-28T00:00:00Z,0.005161903
2017-01-29T00:00:00Z,0.005161903
2017-01-30T00:00:00Z,0.005161903
2017-01-31T00:00:00Z,0.005161903
2017-02-01T00:00:00Z,0.0052632
2017-02-02T00:00:00Z,0.0052632
2017-02-03T00:00:00Z,0.0052632
2017-02-04T00:00:00Z,0.0052632
2017-02-05T00:00:00Z,0.0052632
2017-02-06T00:00:00Z,0.0052632
2017-02-07T00:00:00Z,0.0052632
2017-02-08T00:00:00Z,0.0052632
2017-02-09T00:00:00Z,0.0052632
2017-02-10T00:00:00Z,0.0052632
2017-02-11T00:00:00Z,0.0052632
2017-02-12T00:00:00Z,0.0052632
2017-02-13T00:00:00Z,0.0052632
2017-02-14T00:00:00Z,0.0052632
2017-02-15T00:00:00Z,0.0052632
2017-02-16T00:00:00Z,0.0052632
2017-02-17T00:00:00Z,0.0052632
2017-02-18T00:00:00Z,0.0052632
2017-02-19T00:00:00Z,0.0052632
2017-02-20T00:00:00Z,0.0052632
2017-02-21T00:00:00Z,0.0052632
2017-02-22T00:00:00Z,0.0052632
2017-02-23T00:00:00Z,0.0052632
2017-02-24T00:00:00Z,0.0052632
2017-02-25T00:00:00Z,0.0052632
2017-02-26T00:00:00Z,0.0052632
2017-02-27T00:00:00Z,0.0052632
2017-02-28T00:00:00Z,0.0052632
2017-03-01T00:00:00Z,0.005494726
2017-03-02T00:00:00Z,0.005494726
2017-03-03T00:00:00Z,0.005494726
2017-03-04T00:00:00Z,0.005494726
2017-03-05T00:00:00Z,0.005494726
2017-03-06T00:00:00Z,0.005494726
2017-03-07T00:00:00Z,0.005494726
2017-03-08T00:00:00Z,0.005494726
2017-03-09T00:00:00Z,0.005494726
2017-03-10T00:00:00Z,0.005494726
2017-03-11T00:00:00Z,0.005494726
2017-03-12T00:00:00Z,0.005494726
2017-03-13T00:00:00Z,0.005494726
2017-03-14T00:00:00Z,0.005494726
2017-03-15T00:00:00Z,0.005494726
2017-03-16T00:00:00Z,0.005494726
2017-03-17T00:00:00Z,0.005494726
2017-03-18T00:00:00Z,0.005494726
2017-03-19T00:00:00Z,0.005494726
2017-03-20T00:00:00Z,0.005494726
2017-03-21T00:00:00Z,0.005494726
2017-03-22T00:00:00Z,0.005494726
2017-03-23T00:00:00Z,0.005494726
2017-03-24T00:00:00Z,0.005494726
2017-03-25T00:00:00Z,0.005494726
2017-03-26T00:00:00Z,0.005494726
2017-03-27T00:00:00Z,0.005494726
2017-03-28T00:00:00Z,0.005494726
2017-03-29T00:00:00Z,0.005494726
2017-03-30T00:00:00Z,0.005494726
2017-03-31T00:00:00Z,0.005494726
2017-04-01T00:00:00Z,0.005522105
2017-04-02T00:00:00Z,0.005522105
2017-04-03T00:00:00Z,0.005522105
2017-04-04T00:00:00Z,0.005522105
2017-04-05T00:00:00Z,0.005522105
2017-04-06T00:00:00Z,0.005522105
2017-04-07T00:00:00Z,0.005522105
2017-04-08T00:00:00Z,0.005522105
2017-04-09T00:00:00Z,0.005522105
2017-04-10T00:00:00Z,0.005522105
2017-04-11T00:00:00Z,0.005522105
2017-04-12T00:00:00Z,0.005522105
2017-04-13T00:00:00Z,0.005522105
2017-04-14T00:00:00Z,0.005522105
2017-04-15T00:00:00Z,0.005522105
2017-04-16T00:00:00Z,0.005522105
2017-04-17T00:00:00Z,0.005522105
2017-04-18T00:00:00Z,0.005522105
2017-04-19T00:00:00Z,0.005522105
2017-04-20T00:00:00Z,0.005522105
2017-04-21T00:00:00Z,0.005522105
2017-04-22T00:00:00Z,0.005522105
2017-04-23T00:00:00Z,0.005522105
2017-04-24T00:00:00Z,0.005522105
2017-04-25T00:00:00Z,0.005522105
2017-04-26T00:00:00Z,0.005522105
2017-04-27T00:00:00Z,0.005522105
2017-04-28T00:00:00Z,0.005522105
2017-04-29T00:00:00Z,0.005522105
2017-04-30T00:00:00Z,0.005522105
2017-05-01T00:00:00Z,0.005902902
2017-05-02T00:00:00Z,0.005902902
2017-05-03T00:00:00Z,0.005902902
2017-05-04T00:00:00Z,0.005902902
2017-05-05T00:00:00Z,0.005902902
2017-05-06T00:00:00Z,0.005902902
2017-05-07T00:00:00Z,0.005902902
2017-05-08T00:00:00Z,0.005902902
2017-05-09T00:00:00Z,0.005902902
2017-05-10T00:00:00Z,0.005902902
2017-05-11T00:00:00Z,0.005902902
2017-05-12T00:00:00Z,0.005902902
2017-05-13T00:00:00Z,0.005902902
2017-05-14T00:00:00Z,0.005902902
2017-05-15T00:00:00Z,0.005902902
2017-05-16T00:00:00Z,0.005902902
2017-05-17T00:00:00Z,0.005902902
2017-05-18T00:00:00Z,0.005902902
2017-05-19T00:00:00Z,0.005902902
2017-05-20T00:00:00Z,0.005902902
2017-05-21T00:00:00Z,0.005902902
2017-05-22T00:00:00Z,0.005902902
2017-05-23T00:00:00Z,0.005902902
2017-05-24T00:00:00Z,0.005902902
2017-05-25T00:00:00Z,0.005902902
2017-05-26T00:00:00Z,0.005902902
2017-05-27T00:00:00Z,0.005902902
2017-05-28T00:00:00Z,0.005902902
2017-05-29T00:00:00Z,0.005902902
2017-05-30T00:00:00Z,0.005902902
2017-05-31T00:00:00Z,0.005902902
2017-06-01T00:00:00Z,0.006397909
2017-06-02T00:00:00Z,0.006397909
2017-06-03T00:00:00Z,0.006397909
2017-06-04T00:00:00Z,0.006397909
2017-06-05T00:00:00Z,0.006397909
2017-06-06T00:00:00Z,0.006397909
2017-06-07T00:00:00Z,0.006397909
2017-06-08T00:00:00Z,0.006397909
2017-06-09T00:00:00Z,0.006397909
2017-06-10T00:00:00Z,0.006397909
2017-06-11T00:00:00Z,0.006397909
2017-06-12T00:00:00Z,0.006397909
2017-06-13T00:00:00Z,0.006397909
2017-06-14T00:00:00Z,0.006397909
2017-06-15T00:00:00Z,0.006397909
2017-06-16T00:00:00Z,0.006397909
2017-06-17T00:00:00Z,0.006397909
2017-06-18T00:00:00Z,0.006397909
2017-06-19T00:00:00Z,0.006397909
2017-06-20T00:00:00Z,0.006397909
2017-06-21T00:00:00Z,0.006397909
2017-06-22T00:00:00Z,0.006397909
2017-06-23T00:00:00Z,0.006397909
2017-06-24T00:00:00Z,0.006397909
2017-06-25T00:00:00Z,0.006397909
2017-06-26T00:00:00Z,0.006397909
2017-06-27T00:00:00Z,0.006397909
2017-06-28T00:00:00Z,0.006397909
2017-06-29T00:00:00Z,0.006397909
2017-06-30T00:00:00Z,0.006397909
2017-07-01T00:00:00Z,0.005704091
2017-07-02T00:00:00Z,0.005704091
2017-07-03T00:00:00Z,0.005704091
2017-07-04T00:00:00Z,0.005704091
2017-07-05T00:00:00Z,0.005704091
2017-07-06T00:00:00Z,0.005704091
2017-07-07T00:00:00Z,0.005704091
2017-07-08T00:00:00Z,0.005704091
2017-07-09T00:00:00Z,0.005704091
2017-07-10T00:00:00Z,0.005704091
2017-07-11T00:00:00Z,0.005704091
2017-07-12T00:00:00Z,0.005704091
2017-07-13T00:00:00Z,0.005704091
2017-07-14T00:00:00Z,0.005704091
2017-07-15T00:00:00Z,0.005704091
2017-07-16T00:00:00Z,0.005704091
2017-07-17T00:00:00Z,0.005704091
2017-07-18T00:00:00Z,0.005704091
2017-07-19T00:00:00Z,0.005704091
2017-07-20T00:00:00Z,0.005704091
2017-07-21T00:00:00Z,0.005704091
2017-07-22T00:00:00Z,0.005704091
2017-07-23T00:00:00Z,0.005704091
2017-07-24T00:00:00Z,0.005704091
2017-07-25T00:00:00Z,0.005704091
2017-07-26T00:00:00Z,0.005704091
2017-07-27T00:00:00Z,0.005704091
2017-07-28T00:00:00Z,0.005704091
2017-07-29T00:00:00Z,0.005704091
2017-07-30T00:00:00Z,0.005704091
2017-07-31T00:00:00Z,0.005704091
2017-08-01T00:00:00Z,0.006162556
2017-08-02T00:00:00Z,0.006167487
2017-08-03T00:00:00Z,0.006172417
2017-08-04T00:00:00Z,0.006177347
2017-08-05T00:00:00Z,0.006182278
2017-08-06T00:00:00Z,0.006187208
2017-08-07T00:00:00Z,0.006192139
2017-08-08T00:00:00Z,0.006197069
2017-08-09T00:00:00Z,0.006202
2017-08-10T00:00:00Z,0.00620693
2017-08-11T00:00:00Z,0.006211861
2017-08-12T00:00:00Z,0.006216791
2017-08-13T00:00:00Z,0.006221721
2017-08-14T00:00:00Z,0.006226652
2017-08-15T00:00:00Z,0.006231582
2017-08-16T00:00:00Z,0.006236513
2017-08-17T00:00:00Z,0.006241443
2017-08-18T00:00:00Z,0.006246374
2017-08-19T00:00:00Z,0.006251304
2017-08-20T00:00:00Z,0.006256235
2017-08-21T00:00:00Z,0.006261165
2017-08-22T00:00:00Z,0.006266095
2017-08-23T00:00:00Z,0.006271026
2017-08-24T00:00:00Z,0.006275956
2017-08-25T00:00:00Z,0.006280887
2017-08-26T00:00:00Z,0.006285817
2017-08-27T00:00:00Z,0.006290748
2017-08-28T00:00:00Z,0.006295678
2017-08-29T00:00:00Z,0.006300609
2017-08-30T00:00:00Z,0.006305539
2017-08-31T00:00:00Z,0.00631047
2017-09-01T00:00:00Z,0.0063154
2017-09-02T00:00:00Z,0.00632033
2017-09-03T00:00:00Z,0.006325261
2017-09-04T00:00:00Z,0.006330191
2017-09-05T00:00:00Z,0.006335122
2017-09-06T00:00:00Z,0.006340052
2017-09-07T00:00:00Z,0.006344983
2017-09-08T00:00:00Z,0.0063499130000000004
2017-09-09T00:00:00Z,0.006354844
2017-09-10T00:00:00Z,0.006359774
2017-09-11T00:00:00Z,0.006364704
