,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT
111,A,FO,TXG_FOB_USD,W00,6,P1Y
112,A,IN,TXG_FOB_USD,W00,6,P1Y
113,A,CG,TXG_FOB_USD,W00,6,P1Y
114,A,PY,TXG_FOB_USD,W00,6,P1Y
115,A,PK,TXG_FOB_USD,W00,6,P1Y
116,A,LR,TXG_FOB_USD,W00,6,P1Y
117,A,1C_473,TXG_FOB_USD,W00,6,P1Y
118,A,CU,TXG_FOB_USD,W00,6,P1Y
119,A,KM,TXG_FOB_USD,W00,6,P1Y
120,A,MG,TXG_FOB_USD,W00,6,P1Y
121,A,TM,TXG_FOB_USD,W00,6,P1Y
122,A,MA,TXG_FOB_USD,W00,6,P1Y
123,A,HU,TXG_FOB_USD,W00,6,P1Y
124,A,DE2,TXG_FOB_USD,W00,6,P1Y
125,A,VC,TXG_FOB_USD,W00,6,P1Y
126,A,BM,TXG_FOB_USD,W00,6,P1Y
127,A,CA,TXG_FOB_USD,W00,6,P1Y
128,A,KG,TXG_FOB_USD,W00,6,P1Y
129,A,CM,TXG_FOB_USD,W00,6,P1Y
130,A,MN,TXG_FOB_USD,W00,6,P1Y
131,A,TG,TXG_FOB_USD,W00,6,P1Y
132,A,BZ,TXG_FOB_USD,W00,6,P1Y
133,A,NZ,TXG_FOB_USD,W00,6,P1Y
134,A,UG,TXG_FOB_USD,W00,6,P1Y
135,A,BN,TXG_FOB_USD,W00,6,P1Y
136,A,PE,TXG_FOB_USD,W00,6,P1Y
137,A,ST,TXG_FOB_USD,W00,6,P1Y
138,A,NI,TXG_FOB_USD,W00,6,P1Y
139,A,PL,TXG_FOB_USD,W00,6,P1Y
140,A,AU,TXG_FOB_USD,W00,6,P1Y
141,A,YUC,TXG_FOB_USD,W00,6,P1Y
142,A,SA,TXG_FOB_USD,W00,6,P1Y
143,A,DK,TXG_FOB_USD,W00,6,P1Y
144,A,W00,TXG_FOB_USD,W00,6,P1Y
145,A,VN,TXG_FOB_USD,W00,6,P1Y
146,A,MT,TXG_FOB_USD,W00,6,P1Y
147,A,ID,TXG_FOB_USD,W00,6,P1Y
148,A,GD,TXG_FOB_USD,W00,6,P1Y
149,A,IL,TXG_FOB_USD,W00,6,P1Y
150,A,HT,TXG_FOB_USD,W00,6,P1Y
151,A,AW,TXG_FOB_USD,W00,6,P1Y
152,A,SI,TXG_FOB_USD,W00,6,P1Y
153,A,B0,TXG_FOB_USD,W00,6,P1Y
154,A,TD,TXG_FOB_USD,W00,6,P1Y
155,A,DZ,TXG_FOB_USD,W00,6,P1Y
156,A,GQ,TXG_FOB_USD,W00,6,P1Y
157,A,JP,TXG_FOB_USD,W00,6,P1Y
158,A,ZM,TXG_FOB_USD,W00,6,P1Y
159,A,SV,TXG_FOB_USD,W00,6,P1Y
160,A,AF,TXG_FOB_USD,W00,6,P1Y
161,A,LT,TXG_FOB_USD,W00,6,P1Y
162,A,TZ,TXG_FOB_USD,W00,6,P1Y
163,A,CS,TXG_FOB_USD,W00,6,P1Y
164,A,MU,TXG_FOB_USD,W00,6,P1Y
165,A,PT,TXG_FOB_USD,W00,6,P1Y
166,A,LV,TXG_FOB_USD,W00,6,P1Y
167,A,GN,TXG_FOB_USD,W00,6,P1Y
168,A,NC,TXG_FOB_USD,W00,6,P1Y
169,A,GE,TXG_FOB_USD,W00,6,P1Y
170,A,RU,TXG_FOB_USD,W00,6,P1Y
171,A,R14,TXG_FOB_USD,W00,6,P1Y
172,A,DM,TXG_FOB_USD,W00,6,P1Y
173,A,GH,TXG_FOB_USD,W00,6,P1Y
174,A,XR29,TXG_FOB_USD,W00,6,P1Y
175,A,GL,TXG_FOB_USD,W00,6,P1Y
176,A,CY,TXG_FOB_USD,W00,6,P1Y
177,A,SB,TXG_FOB_USD,W00,6,P1Y
178,A,MY,TXG_FOB_USD,W00,6,P1Y
179,A,ES,TXG_FOB_USD,W00,6,P1Y
180,A,KR,TXG_FOB_USD,W00,6,P1Y
181,A,CH,TXG_FOB_USD,W00,6,P1Y
182,A,LY,TXG_FOB_USD,W00,6,P1Y
183,A,US,TXG_FOB_USD,W00,6,P1Y
184,A,SK,TXG_FOB_USD,W00,6,P1Y
