,date,value (millions USD),country,partner
0,2022-01,147299.230326,US,WOO
1,2022-02,150880.07591,US,WOO
2,2022-03,179455.924346,US,WOO
3,2022-04,172936.675473,US,WOO
4,2022-05,177917.472374,US,WOO
5,2022-06,182631.481159,US,WOO
6,2022-07,175717.650566,US,WOO
7,2022-08,181048.192139,US,WOO
8,2022-09,176036.078362,US,WOO
9,2022-10,180548.656796,US,WOO
