,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE
16,M,1C_080,TXG_FOB_USD,W00,6,P1M,2022-01,188555.568137,2022-02,188617.276313,2022-03,231245.850435,2022-04,236212.634588,2022-05,227876.439969,2022-06,235167.964725,2022-07,231421.564082,2022-08,238011.63661,2022-09,235489.581617,2022-10,226162.941798,2022-11,219312.508587
17,M,SO,TXG_FOB_USD,W00,6,P1M,2022-01,47.671454,2022-02,44.357936,2022-03,51.743143,2022-04,52.455361,2022-05,54.093993,2022-06,145.041928,2022-07,71.278358,2022-08,43.869732,2022-09,45.775661,2022-10,43.636062,2022-11,39.36138
18,M,MD,TXG_FOB_USD,W00,6,P1M,2022-01,330.357236,2022-02,336.464327,2022-03,395.826597,2022-04,396.340158,2022-05,416.034561,2022-06,416.431915,2022-07,338.22251,2022-08,329.414482,2022-09,318.527652,2022-10,266.58499,2022-11,301.630088
19,M,DK,TXG_FOB_USD,W00,6,P1M,2022-01,10346.383428,2022-02,10583.792075,2022-03,12841.346597,2022-04,10125.14244,2022-05,10977.178436,2022-06,11120.138747,2022-07,10306.714629,2022-08,10354.939156,2022-09,11291.814412,2022-10,10602.581965,2022-11,10734.39817
20,M,CL,TXG_FOB_USD,W00,6,P1M,2022-01,8562.174464,2022-02,7301.397759,2022-03,8672.600934,2022-04,8026.584486,2022-05,8897.702434,2022-06,8330.295707,2022-07,7946.688801,2022-08,7877.598757,2022-09,7569.077534,2022-10,7597.805356,2022-11,7812.810264
21,M,FR,TXG_FOB_USD,W00,6,P1M,2022-01,50670.268781,2022-02,50594.881785,2022-03,56309.207704,2022-04,49835.43002,2022-05,51580.78688,2022-06,54873.791679,2022-07,47694.013785,2022-08,44324.212668,2022-09,52814.42722,2022-10,50943.529448,2022-11,45190.468252
22,M,LC,TXG_FOB_USD,W00,6,P1M,2022-01,6.432208,2022-02,5.605887,2022-03,5.937995,2022-04,5.944005,2022-05,6.684077,2022-06,5.340154,2022-07,6.039172,2022-08,5.714023,2022-09,6.244344,2022-10,4.806478,2022-11,9.839439
23,M,X88,TXG_FOB_USD,W00,6,P1M,2022-01,172.223771,2022-02,106.484228,2022-03,147.486844,2022-04,157.664945,2022-05,156.22843,2022-06,174.938065,2022-07,129.186053,2022-08,159.646855,2022-09,155.299231,2022-10,177.815981,2022-11,131.362012
24,M,KP,TXG_FOB_USD,W00,6,P1M,2022-01,25.620144,2022-02,11.004408,2022-03,14.365062,2022-04,14.490177,2022-05,18.643705,2022-06,15.699251,2022-07,23.691426,2022-08,29.704084,2022-09,25.463298,2022-10,31.263719,2022-11,23.290507
25,M,TJ,TXG_FOB_USD,W00,6,P1M,2022-01,100.193481,2022-02,114.767265,2022-03,83.967329,2022-04,106.652368,2022-05,255.817563,2022-06,497.844358,2022-07,56.414083,2022-08,46.65045,2022-09,77.875752,2022-10,83.026703,2022-11,48.361103
26,M,NZ,TXG_FOB_USD,W00,6,P1M,2022-01,3238.546446,2022-02,3461.284949,2022-03,4577.136634,2022-04,4179.06018,2022-05,4358.408148,2022-06,3954.892892,2022-07,3929.659047,2022-08,3309.379179,2022-09,3518.019986,2022-10,3489.675027,2022-11,4037.991088
