date,reporter,partner,value,code,desc
2020-05-01,USA,Canada,569864,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,China,126046,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,France,74271,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,Italy,97225,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,Mexico,75618,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,Portugal,100517,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,India,167951,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,Viet Nam,19019,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,Spain,59772,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-05-01,USA,Türkiye,8153800,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,World,8265696,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Albania,5010,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Belgium,34203,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Canada,351195,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,China,197448,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Dominican Rep.,7043,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,France,8654,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Indonesia,12008,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Italy,53013,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Mexico,99071,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Pakistan,4800,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Portugal,29295,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,India,250085,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Viet Nam,9862,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-06-01,USA,Türkiye,7204009,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,World,12397987,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Belgium,8298,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Brazil,8595,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Canada,418897,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,China,270214,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Italy,114024,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Mexico,129197,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Portugal,25584,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,India,4411320,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Viet Nam,31183,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Türkiye,6971188,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,Egypt,4356,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-07-01,USA,United Kingdom,5131,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,World,9529680,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Belgium,106327,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Brazil,21888,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Canada,79523,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,China,597664,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,France,22973,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Israel,5109,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Italy,34619,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Mexico,94484,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Portugal,145777,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,India,490032,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Viet Nam,58588,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-08-01,USA,Türkiye,7872696,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,World,10085652,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Albania,6505,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Bulgaria,16907,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Canada,286588,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,China,342492,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Czechia,2424,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,France,14721,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Germany,6000,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Italy,27256,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-09-01,USA,Mexico,70025,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
